iso_code,fb_npgls_per90,fb_gls_per90,fb_ast_per90,fb_intl_mins_avg,fb_intl_coverage_pct,fb_squad_matched
AUS,0.098,0.107,0.049,542.6,65.4,17
CUW,0.192,0.201,0.166,429.4,92.3,24
HTI,0.178,0.178,0.1,449.0,69.2,18
IRQ,0.087,0.087,0.068,723.6,76.9,20
JOR,0.141,0.167,0.114,929.5,42.3,11
JPN,0.268,0.276,0.222,511.0,88.5,23
KOR,0.251,0.284,0.175,828.7,50.0,13
MAR,0.204,0.217,0.179,336.0,80.8,21
MEX,0.041,0.041,0.041,116.5,73.1,19
PAN,0.16,0.16,0.089,481.3,80.8,21
QAT,0.148,0.181,0.157,546.3,76.9,20
SAU,0.099,0.115,0.049,682.3,61.5,16
TUN,0.126,0.157,0.11,381.6,57.7,15
USA,0.147,0.147,0.147,116.6,80.8,21
UZB,0.137,0.147,0.128,756.0,50.0,13
