iso_code,host_iso,is_self_host,distance_km,diaspora_estimate,log_diaspora,shared_language,shares_border
DZA,USA,0,6476.8,50000,10.819798284210286,0,0
DZA,CAN,0,6750.1,75000,11.225256725762893,0,0
DZA,MEX,0,9755.8,1000,6.90875477931522,0,0
ARG,USA,0,8526.2,300000,12.611541086966115,0,0
ARG,CAN,0,8958.2,40000,10.596659732783579,0,0
ARG,MEX,0,7392.2,60000,11.002116507732017,1,0
AUS,USA,0,16225.8,200000,12.206077645517674,1,0
AUS,CAN,0,15810.0,26000,10.165890277802454,1,0
AUS,MEX,0,13177.3,5000,8.517393171418904,0,0
AUT,USA,0,6796.3,700000,13.45883704259595,0,0
AUT,CAN,0,6917.0,200000,12.206077645517674,0,0
AUT,MEX,0,10151.4,3000,8.006700845440367,0,0
BEL,USA,0,5888.6,400000,12.899222326086994,0,0
BEL,CAN,0,6025.1,180000,12.100717685412471,1,0
BEL,MEX,0,9246.5,3000,8.006700845440367,0,0
BIH,USA,0,7183.8,300000,12.611541086966115,0,0
BIH,CAN,0,7333.6,25000,10.12667110305036,0,0
BIH,MEX,0,10543.1,500,6.2166061010848646,0,0
BRA,USA,0,6839.0,500000,13.122365377402328,0,0
BRA,CAN,0,7347.4,70000,11.156264806643742,0,0
BRA,MEX,0,6835.1,15000,9.61587214452889,0,0
CAN,USA,0,541.3,1100000,13.910821646859095,1,1
CAN,CAN,1,0.0,0,0.0,1,0
CAN,MEX,0,3603.3,5000,8.517393171418904,0,0
CPV,USA,0,5632.4,100000,11.51293546492023,0,0
CPV,CAN,0,6142.5,5000,8.517393171418904,0,0
CPV,MEX,0,7985.8,100,4.61512051684126,0,0
COL,USA,0,4003.2,1500000,14.220976332738882,0,0
COL,CAN,0,4361.5,75000,11.225256725762893,0,0
COL,MEX,0,3170.7,35000,10.463131911491967,1,0
HRV,USA,0,6905.8,400000,12.899222326086994,0,0
HRV,CAN,0,7049.1,130000,11.775297421715827,0,0
HRV,MEX,0,10265.0,5000,8.517393171418904,0,0
CUW,USA,0,3218.3,10000,9.210440366976517,0,0
CUW,CAN,0,3647.8,5000,8.517393171418904,0,0
CUW,MEX,0,3332.1,200,5.303304908059076,0,0
CZE,USA,0,6572.5,1700000,14.346139397261565,0,0
CZE,CAN,0,6683.2,100000,11.51293546492023,0,0
CZE,MEX,0,9923.9,1500,7.313886831633462,0,0
COD,USA,0,10268.3,100000,11.51293546492023,0,0
COD,CAN,0,10722.2,25000,10.12667110305036,1,0
COD,MEX,0,12728.1,500,6.2166061010848646,0,0
ECU,USA,0,4569.5,700000,13.45883704259595,0,0
ECU,CAN,0,4875.0,20000,9.90353755128617,0,0
ECU,MEX,0,3135.7,5000,8.517393171418904,1,0
EGY,USA,0,9022.0,400000,12.899222326086994,0,0
EGY,CAN,0,9208.7,73000,11.19822841866684,0,0
EGY,MEX,0,12368.6,1500,7.313886831633462,0,0
ENG,USA,0,5570.2,25000000,17.034386422832473,1,0
ENG,CAN,0,5712.5,5300000,15.483217567201578,1,0
ENG,MEX,0,8928.7,12000,9.392745258631441,0,0
FRA,USA,0,5837.2,8000000,15.894952224644102,0,0
FRA,CAN,0,6000.8,4700000,15.363073279446223,1,0
FRA,MEX,0,9196.3,35000,10.463131911491967,0,0
DEU,USA,0,6385.0,41000000,17.529082649058825,0,0
DEU,CAN,0,6475.9,3300000,15.009433329466965,0,0
DEU,MEX,0,9726.7,25000,10.12667110305036,0,0
GHA,USA,0,8239.8,200000,12.206077645517674,1,0
GHA,CAN,0,8709.2,30000,10.308985993422082,1,0
GHA,MEX,0,10732.0,500,6.2166061010848646,0,0
HTI,USA,0,2464.8,1100000,13.910821646859095,0,0
HTI,CAN,0,2864.0,165000,12.013706813470414,1,0
HTI,MEX,0,2818.9,5000,8.517393171418904,0,0
IRN,USA,0,9855.0,1000000,13.815511557963774,0,0
IRN,CAN,0,9886.9,210000,12.25486757159303,0,0
IRN,MEX,0,13144.2,2000,7.601402334583733,0,0
IRQ,USA,0,9642.6,500000,13.122365377402328,0,0
IRQ,CAN,0,9732.0,70000,11.156264806643742,0,0
IRQ,MEX,0,12986.6,1500,7.313886831633462,0,0
CIV,USA,0,7724.5,100000,11.51293546492023,0,0
CIV,CAN,0,8206.5,7000,8.853808274977197,1,0
CIV,MEX,0,10155.5,500,6.2166061010848646,0,0
JPN,USA,0,10851.7,1500000,14.220976332738882,0,0
JPN,CAN,0,10351.5,110000,11.608244735642321,0,0
JPN,MEX,0,11309.9,12000,9.392745258631441,0,0
JOR,USA,0,9203.8,100000,11.51293546492023,0,0
JOR,CAN,0,9351.8,15000,9.61587214452889,0,0
JOR,MEX,0,12562.8,1500,7.313886831633462,0,0
MEX,USA,0,3359.4,37000000,17.426428497635523,0,1
MEX,CAN,0,3261.0,130000,11.775297421715827,0,0
MEX,MEX,1,0.0,0,0.0,1,0
MAR,USA,0,5837.8,100000,11.51293546492023,0,0
MAR,CAN,0,6173.5,90000,11.407576060361786,0,0
MAR,MEX,0,9016.8,2000,7.601402334583733,0,0
NLD,USA,0,5863.2,4000000,15.201805169084134,0,0
NLD,CAN,0,5982.0,1000000,13.815511557963774,0,0
NLD,MEX,0,9216.7,6000,8.699681400989514,0,0
NZL,USA,0,14403.4,50000,10.819798284210286,1,0
NZL,CAN,0,14138.2,12000,9.392745258631441,1,0
NZL,MEX,0,11103.7,1000,6.90875477931522,0,0
NOR,USA,0,5914.9,4000000,15.201805169084134,0,0
NOR,CAN,0,5936.2,460000,13.038983942375959,0,0
NOR,MEX,0,9195.8,1500,7.313886831633462,0,0
PAN,USA,0,3570.0,200000,12.206077645517674,0,0
PAN,CAN,0,3855.2,5000,8.517393171418904,0,0
PAN,MEX,0,2408.9,5000,8.517393171418904,1,0
PRY,USA,0,7530.2,30000,10.308985993422082,0,0
PRY,CAN,0,7980.0,5000,8.517393171418904,0,0
PRY,MEX,0,6699.8,2000,7.601402334583733,1,0
PRT,USA,0,5422.0,1400000,14.151983508870947,0,0
PRT,CAN,0,5725.7,480000,13.081543466215237,0,0
PRT,MEX,0,8671.4,5000,8.517393171418904,0,0
QAT,USA,0,10772.3,50000,10.819798284210286,0,0
QAT,CAN,0,10861.4,5000,8.517393171418904,0,0
QAT,MEX,0,14117.1,200,5.303304908059076,0,0
SAU,USA,0,10509.1,100000,11.51293546492023,0,0
SAU,CAN,0,10634.7,10000,9.210440366976517,0,0
SAU,MEX,0,13867.7,500,6.2166061010848646,0,0
SCO,USA,0,5244.5,6000000,15.607270193858982,1,0
SCO,CAN,0,5341.7,4700000,15.363073279446223,1,0
SCO,MEX,0,8587.9,3000,8.006700845440367,0,0
SEN,USA,0,6144.0,50000,10.819798284210286,0,0
SEN,CAN,0,6636.3,8000,8.987321812850125,1,0
SEN,MEX,0,8615.7,500,6.2166061010848646,0,0
ZAF,USA,0,12822.1,130000,11.775297421715827,1,0
ZAF,CAN,0,13318.4,50000,10.819798284210286,1,0
ZAF,MEX,0,14595.7,1500,7.313886831633462,0,0
KOR,USA,0,11052.6,1900000,14.45736497045232,0,0
KOR,CAN,0,10601.0,220000,12.301387370778713,0,0
KOR,MEX,0,12051.6,12000,9.392745258631441,0,0
ESP,USA,0,5768.0,900000,13.710151153416941,0,0
ESP,CAN,0,6035.9,80000,11.289794413577894,0,0
ESP,MEX,0,9062.7,350000,12.765691290604371,1,0
SWE,USA,0,6320.0,4000000,15.201805169084134,0,0
SWE,CAN,0,6328.8,350000,12.765691290604371,0,0
SWE,MEX,0,9585.1,2500,7.824445930877619,0,0
CHE,USA,0,6270.3,1000000,13.815511557963774,0,0
CHE,CAN,0,6435.7,150000,11.918397239722838,1,0
CHE,MEX,0,9628.9,7500,8.922791623969637,0,0
TUN,USA,0,7017.8,50000,10.819798284210286,0,0
TUN,CAN,0,7260.3,30000,10.308985993422082,0,0
TUN,MEX,0,10328.9,500,6.2166061010848646,0,0
TUR,USA,0,8397.3,500000,13.122365377402328,0,0
TUR,CAN,0,8508.8,60000,11.002116507732017,0,0
TUR,MEX,0,11750.9,2000,7.601402334583733,0,0
USA,USA,1,0.0,0,0.0,1,0
USA,CAN,0,562.9,0,0.0,1,1
USA,MEX,0,3031.8,800000,13.592368256649284,0,1
URY,USA,0,8603.8,50000,10.819798284210286,0,0
URY,CAN,0,9045.8,5000,8.517393171418904,0,0
URY,MEX,0,7554.6,4000,8.294299608857235,1,0
UZB,USA,0,10171.7,50000,10.819798284210286,0,0
UZB,CAN,0,10061.6,10000,9.210440366976517,0,0
UZB,MEX,0,13156.3,100,4.61512051684126,0,0
