group,team,Pld,W,D,L,GF,GA,GD,Pts,rank
A,MEX,1,1,0,0,2,0,2,3,1
A,KOR,1,1,0,0,2,1,1,3,2
A,CZE,1,0,0,1,1,2,-1,0,3
A,ZAF,1,0,0,1,0,2,-2,0,4
B,CHE,1,0,1,0,1,1,0,1,1
B,CAN,1,0,1,0,1,1,0,1,2
B,QAT,1,0,1,0,1,1,0,1,3
B,BIH,1,0,1,0,1,1,0,1,4
C,SCO,1,1,0,0,1,0,1,3,1
C,BRA,1,0,1,0,1,1,0,1,2
C,MAR,1,0,1,0,1,1,0,1,3
C,HTI,1,0,0,1,0,1,-1,0,4
D,USA,1,1,0,0,4,1,3,3,1
D,AUS,1,1,0,0,2,0,2,3,2
D,TUR,1,0,0,1,0,2,-2,0,3
D,PRY,1,0,0,1,1,4,-3,0,4
E,DEU,1,1,0,0,7,1,6,3,1
E,CIV,1,1,0,0,1,0,1,3,2
E,ECU,1,0,0,1,0,1,-1,0,3
E,CUW,1,0,0,1,1,7,-6,0,4
F,SWE,1,1,0,0,5,1,4,3,1
F,JPN,1,0,1,0,2,2,0,1,2
F,NLD,1,0,1,0,2,2,0,1,3
F,TUN,1,0,0,1,1,5,-4,0,4
G,IRN,1,0,1,0,2,2,0,1,1
G,NZL,1,0,1,0,2,2,0,1,2
G,BEL,1,0,1,0,1,1,0,1,3
G,EGY,1,0,1,0,1,1,0,1,4
H,URY,1,0,1,0,1,1,0,1,1
H,SAU,1,0,1,0,1,1,0,1,2
H,ESP,1,0,1,0,0,0,0,1,3
H,CPV,1,0,1,0,0,0,0,1,4
I,FRA,0,0,0,0,0,0,0,0,1
I,SEN,0,0,0,0,0,0,0,0,2
I,NOR,0,0,0,0,0,0,0,0,3
I,IRQ,0,0,0,0,0,0,0,0,4
J,ARG,0,0,0,0,0,0,0,0,1
J,DZA,0,0,0,0,0,0,0,0,2
J,AUT,0,0,0,0,0,0,0,0,3
J,JOR,0,0,0,0,0,0,0,0,4
K,COL,0,0,0,0,0,0,0,0,1
K,PRT,0,0,0,0,0,0,0,0,2
K,UZB,0,0,0,0,0,0,0,0,3
K,COD,0,0,0,0,0,0,0,0,4
L,ENG,0,0,0,0,0,0,0,0,1
L,HRV,0,0,0,0,0,0,0,0,2
L,PAN,0,0,0,0,0,0,0,0,3
L,GHA,0,0,0,0,0,0,0,0,4
